inventory_id,store_id,title,description
1,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
2,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
3,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
4,1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
16,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
17,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
18,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
19,1,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
26,1,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
27,1,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
28,1,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
32,1,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
33,1,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
41,1,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
42,1,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
43,1,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
46,1,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
47,1,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
48,1,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
49,1,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
53,1,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
54,1,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
55,1,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
56,1,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
60,1,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
61,1,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
62,1,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
71,1,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
72,1,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
77,1,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
78,1,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
81,1,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House"
82,1,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House"
83,1,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House"
